"user.id","signup.date"
"5231e0cb217c626224d1a76e",2013-09-12
"527fa9afb6a88e9514bacd50",2013-11-10
"52560d52b6a88e9514aca18c",2013-10-10
"52545059b6a88e9514ac43db",2013-10-08
"525a97b6b6a88e9514ada58e",2013-10-13
"51a415cd34b9b0a804a04a11",2013-05-28
"51a18f4f34b9b0a8049febc1",2013-05-26
"51a8a72c34b9b0a804a12721",2013-05-31
"51ad691e34b9b0a804a20933",2013-06-04
"51af1b7d6b7f676221000012",2013-06-05
"51b1f5ac217c626224a5d2b3",2013-06-07
"51d4266b217c626224aebb7d",2013-07-03
"52153199217c626224c5563d",2013-08-21
"52b1c91eb6a88e9514d6621e",2013-12-18
"532b08b94efa972750f351df",2014-03-20
"535158f84efa972750f79b5f",2014-04-18
"52b74b91b6a88e9514d8147d",2013-12-22
"51e99f9d217c626224b5edbe",2013-07-19
"524d6a73b6a88e9514aac3af",2013-10-03
"51e5cd6d217c626224b44d51",2013-07-16
"5299f6d8b6a88e9514ca36fb",2013-11-30
"5277cc99b6a88e9514b6c46f",2013-11-04
"528ffa47b6a88e9514c604bb",2013-11-23
"52ee722ab6a88e9514e9e8e0",2014-02-02
"52f65f8cb6a88e9514ea8787",2014-02-08
"52eec099b6a88e9514e9ec4c",2014-02-02
"5331b3c04efa972750f40197",2014-03-25
"52269c7a217c626224cd2417",2013-09-04
"51cf15b4217c626224abdb8a",2013-06-29
"51a8977834b9b0a804a12475",2013-05-31
"521528b9217c626224c55181",2013-08-21
"5284f96fb6a88e9514bdb55d",2013-11-14
"52755f70b6a88e9514b5e5eb",2013-11-02
"51f50e80217c626224b9e0ec",2013-07-28
"526087c7b6a88e9514b0361b",2013-10-18
"52e8a613b6a88e9514e238d0",2014-01-29
"5301ca1b4efa972750e6e1ed",2014-02-17
"52f6a3adb6a88e9514ea8b63",2014-02-08
"5234a3ce217c626224d290c2",2013-09-14
"52a90007b6a88e9514d13093",2013-12-12
"52fd0df9b6a88e9514eaf5ea",2014-02-13
"52635e54b6a88e9514b0a165",2013-10-20
"5331aee14efa972750f400ef",2014-03-25
"52dd9942b6a88e9514e1231c",2014-01-20
"51ad259a34b9b0a804a1fbac",2013-06-03
"520462b5217c626224bed5cc",2013-08-09
"51bfebe9217c626224a884dd",2013-06-18
"52195df8217c626224c6c534",2013-08-25
"51d5a1f8217c626224af24c4",2013-07-04
"52010203217c626224bd6b3d",2013-08-06
"4fbbf6f562047742c954076d",2013-10-01
"5247628ab6a88e9514a90acb",2013-09-28
"524ba0e0b6a88e9514aa5f55",2013-10-02
"51488a4a34b9b0a80480445f",2013-10-28
"5287f33db6a88e9514bf5942",2013-11-16
"5283e350b6a88e9514bd3630",2013-11-13
"528e3730b6a88e9514c4f955",2013-11-21
"5292bd1fb6a88e9514c7d606",2013-11-25
"51a3553134b9b0a804a021b4",2013-05-28
"524fc343b6a88e9514ab5d9c",2013-10-05
"52680df7b6a88e9514b22f02",2013-10-23
"51aea9c5217c626224a54d16",2013-06-05
"529b6d71b6a88e9514ca706c",2013-12-01
"529cd625b6a88e9514cb0594",2013-12-02
"529926bab6a88e9514ca1c65",2013-11-29
"52985395b6a88e9514c9fad4",2013-11-29
"52978044b6a88e9514c9de02",2013-11-28
"52a0082cb6a88e9514cbfb7f",2013-12-05
"51eb5bbd217c626224b655f6",2013-07-21
"52adbc96b6a88e9514d41759",2013-12-15
"52aa0555b6a88e9514d206a7",2013-12-12
"52c0fbb3b6a88e9514daa080",2013-12-30
"52bca7d2b6a88e9514da64ba",NA
"520197d1217c626224bdaefd",2013-08-07
"52ac02d8b6a88e9514d34e7a",2013-12-14
"5243a718b6a88e9514a81377",2013-09-26
"52d50541b6a88e9514e0512c",2014-01-14
"52824b17b6a88e9514bc5f79",2013-11-12
"52843534b6a88e9514bd6809",2013-11-14
"52295d7a217c626224ce63cf",2013-09-06
"51acd76f34b9b0a804a1e7b2",2013-06-03
