"user.id","purchase.date","purchase.count"
"5283e350b6a88e9514bd3630",2013-11-13,2
"5283e350b6a88e9514bd3630",2013-11-14,1
"528e3730b6a88e9514c4f955",2013-11-24,2
"528e3730b6a88e9514c4f955",2013-11-25,1
"5292bd1fb6a88e9514c7d606",2013-11-25,3
"51a3553134b9b0a804a021b4",2013-05-28,2
"51a3553134b9b0a804a021b4",2013-05-30,1
"51a3553134b9b0a804a021b4",2013-07-17,3
"51a3553134b9b0a804a021b4",2013-07-30,1
"51a3553134b9b0a804a021b4",2013-08-14,1
"51a3553134b9b0a804a021b4",2014-02-21,1
"51aea9c5217c626224a54d16",2013-06-05,3
"51aea9c5217c626224a54d16",2013-11-29,2
"51aea9c5217c626224a54d16",2013-12-02,1
"529b6d71b6a88e9514ca706c",2013-12-01,2
"529b6d71b6a88e9514ca706c",2013-12-04,1
"529b6d71b6a88e9514ca706c",2013-12-10,1
"529cd625b6a88e9514cb0594",2013-12-02,2
"529cd625b6a88e9514cb0594",2013-12-05,1
"529926bab6a88e9514ca1c65",2013-11-29,2
"529926bab6a88e9514ca1c65",2013-12-05,1
"52985395b6a88e9514c9fad4",2013-11-29,2
"52985395b6a88e9514c9fad4",2013-12-02,1
"52985395b6a88e9514c9fad4",2013-12-03,2
"52985395b6a88e9514c9fad4",2013-12-05,1
"52978044b6a88e9514c9de02",2013-11-28,2
"52978044b6a88e9514c9de02",2013-11-29,1
"52a0082cb6a88e9514cbfb7f",2013-12-05,2
"52a0082cb6a88e9514cbfb7f",2013-12-09,1
"52aa0555b6a88e9514d206a7",2013-12-12,2
"520197d1217c626224bdaefd",2013-08-07,2
"520197d1217c626224bdaefd",2013-08-08,1
"5243a718b6a88e9514a81377",2013-09-26,3
"5243a718b6a88e9514a81377",2013-11-29,2
"5243a718b6a88e9514a81377",2013-12-03,1
"5243a718b6a88e9514a81377",2013-12-11,1
"52824b17b6a88e9514bc5f79",2013-11-12,3
"52843534b6a88e9514bd6809",2013-11-14,3
"51acd76f34b9b0a804a1e7b2",2013-06-03,2
"51acd76f34b9b0a804a1e7b2",2013-06-05,1
"528f635cb6a88e9514c5972b",2013-11-22,2
"528f635cb6a88e9514c5972b",2013-11-25,1
